"Timestamp","Nr. of Nodes","Amount of PCP instances","Functionality","Costs"
"Timestamp","Nr. of Nodes","Amount of PCP instances","Functionality","Costs"
"0.612382958","337","0","48","36.18719999999997"
"20.62710625","337","0","48","36.1872"
"22.548766333","337","3","48","35.62559999999997"
"28.593681917","337","2","48","35.62559999999997"
"34.599841583","337","1","48","35.62559999999997"
"39.892192083","337","1","48","35.62559999999997"
"49.930791917","337","0","46","35.07359999999997"
"201.456270583","337","0","46","35.07359999999997"
"204.317194083","337","16","48","26.716799999999985"
"210.360709542","337","14","48","26.716799999999985"
"217.649110833","337","15","48","26.716799999999985"
"223.670825833","337","14","48","26.716799999999985"
"372.567123833","337","14","48","26.716799999999985"
"375.19495","337","18","48","24.48959999999999"
"381.216474167","337","16","48","24.48959999999999"
"388.314167292","337","17","48","24.48959999999999"
"394.32557075","337","16","48","24.48959999999999"
"529.944071333","337","16","48","24.48959999999999"
"533.238969917","337","26","48","18.3696"
"539.255179","337","24","48","18.3696"
"546.959047083","337","25","48","18.3696"
"552.974339208","337","23","48","18.3696"
"Timestamp","Nr. of Nodes","Amount of PCP instances","Functionality","Costs"
"0.596116583","337","0","48","36.18719999999997"
"0.596329875","337","0","48","36.18719999999997"
"20.609987208","337","0","48","36.1872"
"21.038205542","337","2","48","35.62559999999997"
"22.288593167","337","2","48","35.62559999999997"
"32.346959542","337","1","48","35.07359999999997"
"42.35441225","337","0","48","35.07359999999997"
